Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
Loading System,Battery unloading,Mes hung,Identified during failure analysis,Restart the software & pc then runing machine.
General Equipment,VHB Machine,Old palsma part run,Identified during failure analysis,Back line stop
Assembly Station,Post APMT,ST-30 VHB cmerera photography time out alarm,Identified during failure analysis,M/c inside to all parts manualy take out then initialize the m/c
General Equipment,VHB macine,VHB toping - 1vaccum alarm,Identified during failure analysis,Trans-1 put position 695.45 to 696 change done
General Equipment,Cosmetic tape sticking,Upper pc abnormal,Identified during failure analysis,Pc restart
General Equipment,VHB machine,Topping 1 vacuum alarm (close),Identified during failure analysis,Vhb tear glue 1 initile position change (o.oo to -1.20)
General Equipment,All mchine,Changeover cell,Identified during failure analysis,Line clearance then part run
General Equipment,Mapping no data,Cell loading,Identified during failure analysis,All part remove & run
Inspection Station,Connector inspection,Small upd cylinder stuk,Identified during failure analysis,Cylinder change with new and read switch setting done
General Equipment,Leakage M/c,Pipe change (Plan activity),Identified during failure analysis,Done
General Equipment,A1 to A11,All mover clean,Identified during failure analysis,Done
General Equipment,FT machine,CCD NG of robot-1&2,Identified during failure analysis,PC restart & robot controller restart
General Equipment,FT machine,Retest option Disable,Identified during failure analysis,Retest option enable from PLC
General Equipment,FT machine,Channel no.-4 testing position disturbed,Identified during failure analysis,Ch. No.-4 position teach
General Equipment,Cosmetick sticking,Both feeder rollar bearing demage,Identified during failure analysis,Both feeder rollar bearing change
General Equipment,Cosmetick sticking,Feeder -01 not run,Identified during failure analysis,Feeder run &CCD teach with trile
Loading System,Pcm loading,PCM NG,Identified during failure analysis,Remove all tray (MFG load NG PCM)
General Equipment,Water ingress Sticking,Vaccum alarm at picking time,Identified during failure analysis,Tape roll wrong loadMFG
Inspection Station,Connector inspection,Connector NG,Identified during failure analysis,Turntable tape change
Loading System,Cell loading machine,Vaccum alarm at turntable,Identified during failure analysis,Remove cell (Ngcell)
Inspection Station,Connector inspection,CCD conmtinous ng on ch.-04,Identified during failure analysis,Found part was shifting then provide tape on side clamp.
General Equipment,FT machine,Discharge tant-4-1 alarm,Identified during failure analysis,Set the sensor
Loading System,Cell loading machine,Vaccum alarm,Identified during failure analysis,Two time cell replaced
Loading System,Pcm loading,Pcm continous ng machine stop without stop.,Identified during failure analysis,Remove all pcm from machine and re-load new lot of pcm
Assembly Station,POST -APMT,"ST-20 two axis 1a alarm,",Identified during failure analysis,Remove all parts into the machine and intialization done then running.
Battery Management Unit,BMU tape sticking,MES connection abnormal,Identified during failure analysis,PC and software restart then run.
Inspection Station,Connector inspection,Upper Computer Abnormal,Identified during failure analysis,PC Restart
General Equipment,Cosmatic tape sticking,Cosmatic tape sticking feedar 2 material upload issue,Identified during failure analysis,Material upload and trial done
General Equipment,Cosmatic tape sticking,Upper Computer Abnormal,Identified during failure analysis,PC and software restart then run.
General Equipment,Whole Line,Power off 2 times due to air pressure low,Identified during failure analysis,That time machine stop
General Equipment,OCV m/c,HMI communication fail,Identified during failure analysis,Restart the PC and PLC
Loading System,Cell loading machine,Turntable vacuum alarm,Identified during failure analysis,Cell replaced (cell surface not ok )
General Equipment,LQC,13 Part dent found,Identified during failure analysis,"Working on the connector inspection machine to reduce the cycle time, while working these dents got created"
Inspection Station,Connector inspection,Less CT,Identified during failure analysis,KB worked in plc
Assembly Station,POST -APMT,ST-20 vacuum alarm,Identified during failure analysis,Check pipe and vacuum cup but no any leakage found
General Equipment,FT machine,Robot -2 stop without anyub alarm,Identified during failure analysis,Robot memeory clear & run
General Equipment,VHB,Intake-1 vaccum alarm,Identified during failure analysis,Part position was incorrect
General Equipment,A2 ocv,MES to PLC communication abnormal,Identified during failure analysis,"Restart MES PC ,Restart M/C Power ,PC to PLC cable Change , Communication PLC Program restart"
Welding Machine,A5 Laser welding,Welding not ON,Identified during failure analysis,Restart Welding controler and welding gernetor
General Equipment,PCM tab bending,Rotation servo limit alarm,Identified during failure analysis,Rotation servo limit sensor plate position change
General Equipment,VHB,Impression mark,Identified during failure analysis,Clean turntable and plasma fixture
General Equipment,Leakage Test,Calibration not done,Identified during failure analysis,Change voc Meter
General Equipment,A3,Data not upload in MES,Identified during failure analysis,Restart pc
General Equipment,FT,Robot 1 and 2 CCD NG,Identified during failure analysis,Restart Robot power and Software
Assembly Station,Pre-APMT,During calibration Data not show,Identified during failure analysis,"PC and software restart 2 time disable servo and manualy move and then enable servo , then initialisatiion done after initialsation calibration"
Inspection Station,Connector inspection,Dent mark,Identified during failure analysis,Clean conveyor
Assembly Station,Post -APMT,Calibration not done,Identified during failure analysis,Pc and software restart
Loading System,Cell Loading Mschine,Bof reback carrior stucking on putting time,Identified during failure analysis,Check found rottery cylinder PU pipe leakage so pipe connected with PU connector
General Equipment,Cosmatic tape sticking,Fai 125 ng issue,Identified during failure analysis,Remove the mover no.-25
General Equipment,Cosmetick sticking,Upper Computer Abnormal,Identified during failure analysis,Restart the PC
General Equipment,FT,Channel no. -4 matting Ng,Identified during failure analysis,Teach the position of channel no.-4
Loading System,Cell loading m/c,Bof reback carrior stucking on putting time,Identified during failure analysis,Parameter change put position 290.20 to 290.13
General Equipment,OCV m/c,OCV NG,Identified during failure analysis,Restat and Run
General Equipment,PCM Loding,PCM NG,Identified during failure analysis,Remove all PCM and Run
Battery Management Unit,BMU tape sticking,Roll Change,Identified during failure analysis,Roll Change
General Equipment,Leakage m/c,Pc to plc communication error,Identified during failure analysis,Restart the pc & initialize the m/c
General Equipment,VHB m/c,Dent scratch issue,Identified during failure analysis,Plasma cleaning fixture clean fixture-1 tape change
Inspection Station,Connector inspection,Dent scratch issue,Identified during failure analysis,Connectoe inspection machine fixture clean
General Equipment,Cosmatic tape sticking,Mes issue (tape quantity not update),Identified during failure analysis,Tape old data delete
Welding Machine,Welding machine,Claw not clean properly,Identified during failure analysis,Big ventury install
General Equipment,Water ingress,New work oder change,Identified during failure analysis,MES material issue
Loading System,Cell loading,Robot does not responde,Identified during failure analysis,Robot memory clear &run tae machine
General Equipment,All machine,High rejugment,Identified during failure analysis,See problem description
General Equipment,Leakage m/c,Data not upload in MES,Identified during failure analysis,See problem description
General Equipment,VHB machine,Vccum alarm,Identified during failure analysis,Set the trans -2 position
General Equipment,All machine,Work order issue,Identified during failure analysis,Update the mes software by KB
General Equipment,VHB machine,VHB trile,Identified during failure analysis,Trile by quality person
General Equipment,All m/c,CLITA work,Identified during failure analysis,CLITA Activity
Inspection Station,Connector inspection,Scratch issue,Identified during failure analysis,Connector m/c discharde tank c/v clean done
Welding Machine,Lesar welding,PDU card not connected,Identified during failure analysis,Change Lesar welding genrator and pc
Welding Machine,Lesar welding,Weldding NG,Identified during failure analysis,Backup load and change position and power decrese
Loading System,Pcm loading,Risk PCM,Identified during failure analysis,See problem description
Loading System,Cell loading,Boff carry reback upd alarm,Identified during failure analysis,Open-1 cyd pipe change
Welding Machine,Welding machine,Manualy welding work,Identified during failure analysis,See problem description
General Equipment,FT machine,Robot 2 alarm,Identified during failure analysis,Restart the robot controller
General Equipment,Water ingres tape sticking,Material upload issue,Identified during failure analysis,Material upload in mes
Welding Machine,Welding machine,PDU Controller disconnect,Identified during failure analysis,Restart pc and match all perameter
General Equipment,OCV m/c,OVC NG part is coming,Identified during failure analysis,Change the lot and check voltage manul
Inspection Station,Connector inspection,Scan part ng,Identified during failure analysis,Part refeed
Inspection Station,Weld inspection,Part ng,Identified during failure analysis,Check data & teach the ng .
Loading System,Cell loading,Scan & mapping part,Identified during failure analysis,Total 190 part .
Welding Machine,Lesar welding,Pc Connection Abnormal,Identified during failure analysis,PC Restart
Loading System,PCM loading,Risk PCM,Identified during failure analysis,See problem description
General Equipment,LQC,Water ingress tape expose,Identified during failure analysis,Tape sticking position change
Battery Management Unit,BMU tape sticking,Feeder 2 ccd ng,Identified during failure analysis,CCD edge teaching done
Welding Machine,Lesar welding,Weldding Shift,Identified during failure analysis,Set the laser welding point and run the machine
Loading System,PCM loading,Mes data issue,Identified during failure analysis,Check by IT Team
General Equipment,Water ingress stick,Feeder data not upload,Identified during failure analysis,Check by IT Team
Loading System,PCM loading,Sential Key error leaser welding,Identified during failure analysis,Restart the program & backup file 3 time then check pull tab test. Leasr welding controller & PC earthing connected.
Loading System,PCM loading,Sential Key error leaser welding 3time,Identified during failure analysis,USB Port change & Sential key software reinstall.
General Equipment,Ft Machine,Upper Computer Abnormal,Identified during failure analysis,Restart the Pc & robot controller.
General Equipment,Cosmatic tape wrapping,MES inbond feedback timeout,Identified during failure analysis,Restart the PC.
General Equipment,VHB MACHINE,Hot Press upload ng station4,Identified during failure analysis,Bypass station 4.
General Equipment,A1 to A11,ITS alarm,Identified during failure analysis,Intilize the ITS software.
Loading System,Cellloading m/c,Power off runing time,Identified during failure analysis,Machine power failure so reset the rccb and initialize then run
General Equipment,PCM tab bending,Upper Computer Abnormal,Identified during failure analysis,Restart the PC and software
Loading System,Call loading,Vaccum alarm,Identified during failure analysis,Check call for turn table and run the line
General Equipment,Lakage m/c,Cleaning & leakage sample test activity,Identified during failure analysis,M/C cleaning done & sample test done
General Equipment,All machine,Fire alarm beep,Identified during failure analysis,All machine stop.
General Equipment,Cosmetic wrapping,Big ear left side wrapping rollar damage,Identified during failure analysis,Change the left side rollar
General Equipment,Water ingres,MES hang,Identified during failure analysis,Pc restart
General Equipment,VHB m/c,Hot Press upload ng station4,Identified during failure analysis,Set the PTP velocity
General Equipment,Cosmetic sticking,Material upload issue,Identified during failure analysis,Material load by production & restart the PC.
General Equipment,Water ingress sticking,Material upload issue,Identified during failure analysis,Material load by production & restart the PC.
Battery Management Unit,BMU tape sticking,CCD Ng Issue,Identified during failure analysis,After roll change CCD ng then change again new roll then running.
General Equipment,Leakage machine,Unknown issue,Identified during failure analysis,Leakage sampel check
General Equipment,FT machine,Linear charge current fail,Identified during failure analysis,TE Person line stop
General Equipment,Cosmetic sticking,Small vaccum pad stack fornt side,Identified during failure analysis,Pad alligment and ccd offset than run ok
General Equipment,VHB m/c,Trans-3 vaccum alarm,Identified during failure analysis,Delay time set
General Equipment,Cosmetic sticking,Upper pc hang,Identified during failure analysis,PC restrt & Software restart
Loading System,Pcm loading,Take tray vaccum alarm,Identified during failure analysis,Pick position 176 to 177 change done
Loading System,Cell loading,Cell vaccum alarm at turntable,Identified during failure analysis,Take out the cell
General Equipment,VHB m/c,Drive alarm,Identified during failure analysis,26-27-28 Deive communication change
General Equipment,VHB m/c,FAI 78/79 NG,Identified during failure analysis,Right side 4 no. fixture 0.03 to 0.08 micron change
General Equipment,Z bending,Upper computer,Identified during failure analysis,PC & software Restart
General Equipment,Water ingress sticking,Upper pc hang,Identified during failure analysis,PC & software Restart
Loading System,Cell loading,3 time Cell vaccum alarm at turntable,Identified during failure analysis,Take out the cell from turntable & replaced the part
Loading System,PCM loading,PCM drop issue,Identified during failure analysis,Robot Z- positon teach of some position & robot UPD cyd-2 stoper set & cylinder flow set
General Equipment,Water ingress tape stick,Upper computer all part pass show but MES fail part,Identified during failure analysis,Correct the CCD & check the data.
Loading System,Pack unloading,Feed tank chain alarm issue in FT machine,Identified during failure analysis,Ser the position of Discharge roll-1&2 Cell pick position 60 to 59 set
General Equipment,Cosmetic sticking,Robot vaccum alarm,Identified during failure analysis,Robot z-position -2 to -3 set
Welding Machine,Laser welding,Welding issue,Identified during failure analysis,Set the welding X-position 0.2mm Laser forward - 1 popsition 54.2 t0 54.4 set
General Equipment,VHB MACHINE,Drive mode alarm b/w 27 to 28,Identified during failure analysis,Communication cable change
General Equipment,Leakage machine,Leakage part found at LQC station,Identified during failure analysis,Whole Line clean
General Equipment,Water ingres tape sticking,FAI 103 fail in right side,Identified during failure analysis,Parameter change 0.99 to 0.95
General Equipment,VHB machine,FAI 90 Fail,Identified during failure analysis,30 micron offset provide in right side
Loading System,Cell loading,Tarn table vaccum alaram,Identified during failure analysis,Part check manually and found small green tape
Loading System,Pcm loading,MES Alarm 4:55 to 5:20 minte,Identified during failure analysis,Pls check log with KB
Loading System,Pcm loading,All PCM ng check MES alarm,Identified during failure analysis,Check the data & manually move mover
General Equipment,VHB Machine,Drive alarm direct to PLC 2 time,Identified during failure analysis,Change cable PLC to IO Module.
General Equipment,VHB Machine,In Take Vacuum alarm x1003,Identified during failure analysis,Change the new ventury then running
General Equipment,Cosmatic tape sticking,Roll change & data upload,Identified during failure analysis,MFG PERSON not available
General Equipment,VHB m/c,Intake 1，2 clamp camin 1，2 clamp alarm,Identified during failure analysis,Machine initilize run
General Equipment,PCM tab bending,Bend1-2 Rotate servo Desable,Identified during failure analysis,Lubrication and alinment of bending aram
General Equipment,FT machine,CH- 27 Cyl. not off,Identified during failure analysis,Manually read swith on and bypass CH
General Equipment,VHB Machine,Drive Mode Alarm Between Drive no. 16 to 17.,Identified during failure analysis,Ethernet Cable Change .
Loading System,PCM loading,PCM Tray Wrong Feed by MFG,Identified during failure analysis,Memoery Clear Then Run.
Loading System,Cell loading,MES NG Because of Cell Data Not Found .,Identified during failure analysis,See problem description
General Equipment,Water ingres tape sticking,"Different Bill no Part run ,Resulting MES NG.",Identified during failure analysis,Bill No Change By MFG
Battery Management Unit,BMU tape sticking,"Different Bill no Part run ,Resulting MES NG.",Identified during failure analysis,Bill No Change By MFG
General Equipment,Cosmetic sticking,"Different Bill no Part run ,Resulting MES NG.",Identified during failure analysis,Bill No Change By MFG
General Equipment,Assembly line-01,VHB part no. change,Identified during failure analysis,Line clearence
General Equipment,VHB Machine,Cam shift rotational cylinder not going to home position,Identified during failure analysis,"Check and found cylinder was stuck,remove the old cylinder & found cylinder gear teeth was broken so cylinder stuck,then replace new cylinder,and alignment done.again one problem will came of reed switch check reed switch faulty,then reed switch changed also.now machine running ok."
General Equipment,OCV m/c,MES connection abnormal,Identified during failure analysis,Restart the PC and software
General Equipment,Water ingres tape sticking,Upper Computer Abnormal,Identified during failure analysis,Restart the PC and software
General Equipment,Z bending,Upper Computer Abnormal,Identified during failure analysis,Restart the PC and software
Assembly Station,POST -APMT,ST.20 axis alarm,Identified during failure analysis,Remove all part initialize the machine and run.
General Equipment,VHB MACHINE,FPC Bend issue 2 times.,Identified during failure analysis,PCM clamp tight and roll cylinder alignment done.
General Equipment,VHB Machine,Drive Alarm in hot Press M/C,Identified during failure analysis,Ethernet Cable chang( servo 7 To servo 8 ) Shop flor temp. set 23.66 to 22.5 all servo position manually move
General Equipment,VHB Machine,Drive Alarm,Identified during failure analysis,Ethernet Cable chang servo 19 To servo 20 and 27 to 28
General Equipment,VHB Machine,Out take upd is not off,Identified during failure analysis,Read switch change
General Equipment,VHB Machine,FPC band,Identified during failure analysis,Addjust Cell clamping position
General Equipment,LINE 1,ALL M/C stop and data uplod error,Identified during failure analysis,Line clear and shift chang in MOM then run
General Equipment,VHB m/c,Camin roll upd 1X606 alarm,Identified during failure analysis,Raadswitch change
General Equipment,VHB m/c,Wca angle high,Identified during failure analysis,Nozzel change
Loading System,Cell loading m/c,Upper computer abnormal,Identified during failure analysis,PC & software Restart
General Equipment,Power cut,5 time,Identified during failure analysis,Air pressure low all m/c
Loading System,Call loading,MES inbond feedback timeout,Identified during failure analysis,Without rejaj part load
General Equipment,Leakage test m/c,Error 353,Identified during failure analysis,KB worked in plc
Loading System,PCM Loading,Drive mode alarm PLC to drive,Identified during failure analysis,Clean the cable & reconnect it.
General Equipment,VHB Machine,Drive mode alarm PLC to drive,Identified during failure analysis,Clean the cable & reconnect it.
Assembly Station,POST -APMT,ST-20 two axis module 1A alarm,Identified during failure analysis,Remove all part then mannually home then initilize the machine.
General Equipment,VHB Machine,Press out upd 1 is not off alarm,Identified during failure analysis,Check the cylinder mannual found cylinder stopper rubber damage & set the cylinder stoper.
General Equipment,Leakage test m/c,Uplode ng value all chamber,Identified during failure analysis,Perameter adjust of gas
Assembly Station,Post APMT,St20 b1 axis alarm,Identified during failure analysis,Initilize m/c
Loading System,Pack unloading,Helcon error,Identified during failure analysis,Software Restart
Battery Management Unit,BMU tape sticking,Upper computer abnormal,Identified during failure analysis,Restart the software and run.
Assembly Station,Post APMT,ST 10 Camera Result Return Timeout.,Identified during failure analysis,Change the ST 10 Cylinder Leakage pipe And Initialise tha machine.
General Equipment,VHB Machine,Cam in Clamp Solenoid Valve Coil not on.,Identified during failure analysis,24 Volt Wire Terminal Change
General Equipment,VHB Machine,Pull Tape NG.,Identified during failure analysis,I Connector Provided at Incoming Location.
General Equipment,Assembly line-01,Other Work Order Part Run.,Identified during failure analysis,See problem description
Loading System,Cell Loading,Machine Stop Due TO Cell Finish.,Identified during failure analysis,See problem description
General Equipment,VHB machine,FAI - 90 NG at post APMT,Identified during failure analysis,"Change the offset velue in right side (Y-2) of CH. No. 1,2,,4"
General Equipment,Assembly Line 1,Power Cut on Whole Plant,Identified during failure analysis,See problem description
General Equipment,Assembly Line 1,Insight Data Issue.,Identified during failure analysis,See problem description
General Equipment,Assembly Line 1,Water Drop Found in Pneumaltic Main Air Pipe,Identified during failure analysis,Remove Water From FRL.
General Equipment,VHB Machine,Temperature Real Time Data error in HMI,Identified during failure analysis,PLC Program Modified
Battery Management Unit,BMU Tape Stick,Robot not respond,Identified during failure analysis,Restart robot controller & restart software.
General Equipment,Cosmatic tape wrapping,Drive Alarm,Identified during failure analysis,Ethernet cable clean then reconnect.
Loading System,PCM loading,Welding ng issue,Identified during failure analysis,Check the parameter & found running welding unit 2 then bypass the clean station or running welding unit 1.
Loading System,Pack unloading,PCM flax fron unload roll-1,Identified during failure analysis,Mechnicly adjustment done
General Equipment,All m/c,FRL unit clean work,Identified during failure analysis,Water drain
General Equipment,Line -1,"Air pressur drop due to,Main power supply cut.",Identified during failure analysis,Inform to utility and all machine stop.
Assembly Station,Post APMT,ST-20 two axis module 1A alarm,Identified during failure analysis,Remove all parts into the machine and intialization done then running.
Loading System,PCM loading,Inbound data not found issue.,Identified during failure analysis,PCM lot change.
General Equipment,Whole Line,Cosmetic side scratch issue.,Identified during failure analysis,Clean Connector inspection & VHB machine
Assembly Station,Post-APMT,ST-20 Two module 1A negative axis limit alarm.,Identified during failure analysis,Remove all part & initilize machine
General Equipment,Cosmatic tape stick,Roll joint break & FAI 125 Ng issue,Identified during failure analysis,Set the roll & set the parameter.
Loading System,Loading Machine,PLC server connection is abnormal,Identified during failure analysis,Restart the upper cmputer & MES PC .
Inspection Station,Connector inspection,Connector ccd ng issue,Identified during failure analysis,Change tape all fixture running underobservation.
Loading System,Loading Machine,Robot does not responde,Identified during failure analysis,Robot memory clear &run tae machine
Loading System,Loading Machine,Mes pc hang,Identified during failure analysis,Pc restart
Loading System,Pcm loading,NG pcm loaded by production,Identified during failure analysis,Take out all pc fro m/c inside
General Equipment,VHB Machine,Material not upload in MES,Identified during failure analysis,Upload meterial then run
General Equipment,Cosmatic tape sticking,Fai 124 ng,Identified during failure analysis,Robot pad clean
Loading System,PCM loading m/c,Overtime alarm of no.5 motor movement,Identified during failure analysis,One mover move one position forward
General Equipment,Connector inspction m/c,Frame work software not on,Identified during failure analysis,PC replace
General Equipment,VHB Machine,FAI 90 Fail,Identified during failure analysis,PE Team working
General Equipment,VHB machine,FAI-90 fail in post-APMT,Identified during failure analysis,Right side Y axis servo assembly change.
Loading System,Cell loading,Bof reback updown not off alarm show in HMI,Identified during failure analysis,Cylinder rotation adjust & air flow adjust by Flow control.
General Equipment,Function test,Robot-1 is not respond & upper image NG.,Identified during failure analysis,Robot controller Restart & PC restart
General Equipment,Water ingress sticking,Water ingress tape roll finish,Identified during failure analysis,New roll feed.
General Equipment,Function test,Leniar charge fail,Identified during failure analysis,See problem description
Loading System,Cell loading,Mapping not done & no online record part,Identified during failure analysis,Remove all part then running machine.
Loading System,Pack unloading m/c,Ceproll 2 is not on x412,Identified during failure analysis,Carrer ng
General Equipment,CCD Connector,High Rejection in CCD,Identified during failure analysis,Acrylic sheet provided but still issue persist some CCD parameter also changed
Loading System,Cell loading,Bof reback updown 2 is not off,Identified during failure analysis,Cylinder rotation adjust & air flow adjust by Flow control.
Loading System,Cell Loading,Inbound reponse fail Barcode error,Identified during failure analysis,Remove all part Refeed another lot.
Loading System,Cell loading,Turn table vaccum issue due to Incoming droped part load in machine,Identified during failure analysis,Replaced with new one part
Loading System,Cell loading,Turntable Vaccum Isuue,Identified during failure analysis,Dented Part feed in machine so Replaced the NG Part with OK one
Assembly Station,Post APMT,ST 20 axis Alarm,Identified during failure analysis,Remove the parts and initialize the machine
General Equipment,All Machine,Power Cut on Whole Plant,Identified during failure analysis,2 time power cut on whole plant & all machine power up one by one.
General Equipment,Ft Machine,Halcon error,Identified during failure analysis,Backup file running .
Loading System,Cell loading,Bof reback UPD-1 IS NOT ON Alarm frequency high,Identified during failure analysis,Clamp modify and put teaching done
General Equipment,FT Machine,Halcon error,Identified during failure analysis,Frame work software backup run.
Inspection Station,Connector inspection,Frame work software not open,Identified during failure analysis,Software backup run and PLC connect by software then run
General Equipment,Water ingress wrapping,Air leakage found inside machine,Identified during failure analysis,Close all air leakage
Assembly Station,PRE APMT Machine,BALI server issue,Identified during failure analysis,IT team resolved
General Equipment,FT Machine,Channel no. 27 and 28 cylinder stuck,Identified during failure analysis,27 no. channel cylinder change and 28 channel no. cylinder stopper set
General Equipment,VHB machine,TEM. Controller unable to send data to plc,Identified during failure analysis,Plc programme modified by KB
General Equipment,LINE -01,Insite data upload multiple time,Identified during failure analysis,IT team resolved
General Equipment,Water ingress Tape,Roll finished,Identified during failure analysis,Roll refeed
Assembly Station,Post APMT,ST 20 axis alarm,Identified during failure analysis,Removed the parts and Initialize the machine
Loading System,Cell loading Machine,Inbound data not Found,Identified during failure analysis,55 nos parts
General Equipment,Cosmetic tape sticking,Roll finished,Identified during failure analysis,Roll refeed
General Equipment,VHB Machine,Topping 2 vacuum is not ON,Identified during failure analysis,Set tear position -2.6 to -3.0
Assembly Station,Post APMT,ST20 two axis 1A axis alarm,Identified during failure analysis,Remove the parts and initialize the machine
General Equipment,Ft Machine,"CH no. 25,26,27,28,29,30 matting Ng issue",Identified during failure analysis,Teach the Channel & running underobservation.
General Equipment,Cosmatic Tape Sticking,Roll finished,Identified during failure analysis,Roll refeed
General Equipment,OCV test,OCV fail continue,Identified during failure analysis,Multimeter probe clean
Loading System,PCM loading,Discharge belt not off,Identified during failure analysis,Memory clear & sensor adjust
General Equipment,Whole line,Insite data not upload,Identified during failure analysis,IT team resolved
Loading System,Cell loading m/c,No printing data due to this 40 carrier out from OCV M/C,Identified during failure analysis,All part remove
General Equipment,Z bending,M/c movement timeout alarm mover no.11,Identified during failure analysis,Manual move and run
General Equipment,Tab bending,M/c movement timeout alarm,Identified during failure analysis,Manual move and run
Assembly Station,Post APMT,ST20 1-B carrie axis alarm,Identified during failure analysis,Machine initilize run
Battery Management Unit,BMU Tape sticking,Upper computer abnormal connection,Identified during failure analysis,Restart pc
Assembly Station,Post apmt,ST 20 axis alarm & St30 unload sensing abnormal (2 time),Identified during failure analysis,Removed the parts and Check the ST20-1 _A axis servo sensor & megnate clean Then Initialize the machine
General Equipment,Cosmetic wrapping,After roll change wrinkle issue genrate,Identified during failure analysis,Roll set again & feeder white tape change & wrape -3 station big ear rollar support tape change
Loading System,Cell loading,MES connection abnormal,Identified during failure analysis,Restart Pc
Assembly Station,Post APMT,ST.20 Two module 1A nagetive axis alarm.,Identified during failure analysis,Remove all parts into the machine and initialize the machine
General Equipment,Cosmetic tape sticking,MES connection abnormal,Identified during failure analysis,Restart the pc and software then run.
General Equipment,Ft Machine,Upper computer abnormal connection,Identified during failure analysis,"Software cut and pc restart, but software not open then again take software from backup file open and run.keep shortcut on desktop. With name running software."
General Equipment,PCM tab bending,MES connection abnormal,Identified during failure analysis,Restart the pc and software then run.
Assembly Station,Post APMT m/c,All axis alarm 3 time,Identified during failure analysis,Remove all parts and M/C initilize and run
General Equipment,VHB m/c,MES connection abnormal,Identified during failure analysis,Restart pc and run
Loading System,PCM loading,Protection plate 3 abnormal,Identified during failure analysis,Remove all PCM & machine initialize
General Equipment,Whole line,Multiple time data upload issue at Pre-APMT & VHB machine.,Identified during failure analysis,Resolved by IT team
Assembly Station,Post-APMT,ST-20 module 1A axis alarm,Identified during failure analysis,Remove all aprt & machine initialize
Inspection Station,Connector inspection,Unknown issue,Identified during failure analysis,See problem description
General Equipment,Z bending,Upper computer hang,Identified during failure analysis,Restart software
General Equipment,VHB,Unknown issue,Identified during failure analysis,MES PC change with new one
General Equipment,VHB Machine,VHB Vacuum is not On alarm,Identified during failure analysis,Set the flow contorl & check vaccum pad.
General Equipment,VHB Machine,Part drop issue,Identified during failure analysis,Check condition found pull tab block some glue then clean the block or stick the fixture tape running underobservation.
Assembly Station,Post APMT,ST-20 module 1A axis alarm,Identified during failure analysis,Remove all parts & machine initialize
General Equipment,Water ingress m/c,MES error issue,Identified during failure analysis,Remove 10 carrier then run
General Equipment,VHB m/c,Intak out vacuum alarm,Identified during failure analysis,Black fom tape change
General Equipment,FT Machine,Channel no. 31 press cylinder alarm,Identified during failure analysis,Stopper set
General Equipment,Cosmetic sticking,Cosmetic feeder 1 cleaning activity,Identified during failure analysis,Cleaned
General Equipment,VHB,Intek 2 vaccum alarm,Identified during failure analysis,PU pipe change
Assembly Station,Post- APMT,Camera roll position offset alarm,Identified during failure analysis,Remove all part & initilize machine
General Equipment,LQC,PCM tilt,Identified during failure analysis,Provide fixture tape at Plasma cleaning station
General Equipment,FT Machine,Robot not respond,Identified during failure analysis,Robot controller Restart & PC restart
General Equipment,Cosmatic tape stick,"FAI 124,125,127 ng & tape not stick properly",Identified during failure analysis,Change the cosmatic roll & Clean pad running underobservation
General Equipment,Ft Machine,After Power up Unit 3 all part Mating ng,Identified during failure analysis,Teach the Channel & running underobservation.
General Equipment,Leakage machine,Serious alarm,Identified during failure analysis,Machine initilize
Loading System,Cell Loading,Cell Found ng in input,Identified during failure analysis,All cell remome due to this 40 carrier ng
Assembly Station,POST -APMT,ST-20 module 1A axis alarm,Identified during failure analysis,Machine initilize
General Equipment,ITS,Mover free in tab cutting,Identified during failure analysis,Manual move and run
General Equipment,Ft machine,Matting ng rejection high,Identified during failure analysis,"Channel no. 33,34,35,47,27,10 teaching done and all robot channel offset screen shot take"
Loading System,Cell loading,MES issue,Identified during failure analysis,Reslove by PE
General Equipment,Leakage test,Serious alarm & robot emergancy stop,Identified during failure analysis,Machine power reset & machine initilize.
Assembly Station,Post-APMT,ST-20 module 2A axis alarm,Identified during failure analysis,Remove all part & machine initilize.
General Equipment,Whole line,Product has time out,Identified during failure analysis,Time increase from MES
General Equipment,Water ingress sticking,Roll broken,Identified during failure analysis,Roll rejoint
General Equipment,Whole Line,Line Changeover,Identified during failure analysis,All MES changeover done.
Loading System,PCM Loading,PCM quatity finished in MES,Identified during failure analysis,Load the quantitiy by MFG.
Assembly Station,Post APMT,VHB ST-30 Photogarphy timeout alarm,Identified during failure analysis,Remove all part & initilize machine.
General Equipment,Water ingress tape stick,FAI 103 fail issue,Identified during failure analysis,After roll change then set the roll position.
General Equipment,Cosmetic tape sticking,CCD ng due to tape checking ROI checking direction from left to right,Identified during failure analysis,1. Changed the ROI direction from right to left and monitor the part and OK.
Unknown,Unknown,Before logic was left to right (white to dark),Identified during failure analysis,After Logic is right to left (Dark to white)
Unknown,Unknown,2. Data was not getting upload to server,Identified during failure analysis,2. Changed the Ethernet cable and Restart the upper computer
General Equipment,VHB Machine,Alarm / Indication : 1-1 VHB Barcode scanning issue.,Identified during failure analysis,1-1:- Scanner teaching done in 3 teaching library for different location and run the machine.
Unknown,Unknown,2-1:- Hot pressing station vacuum alarm during picking the part.,Identified during failure analysis,We need to improve the deductions angle 5~30 Degree
Unknown,Unknown,Root Cause:-,Identified during failure analysis,
